0,1,2,3,4,5
168,434,Leipzig,12-13-2021,25.94,"3221
"
169,86,Port Moresby,06-17-2022,23.38,"1701
"
170,898,Monterrey,06-22-2022,77.87,"4696
"
171,146,Las Vegas,06-27-2022,74.35,"1326
"
172,226,Zrich,02-09-2022,25.36,"6866
"
173,882,Dallas,03-04-2022,67.36,"7066
"
174,758,Pune,01-19-2022,10.64,"2638
"
175,921,Belm,10-08-2022,83.22,"1486
"
176,125,Fortaleza,11-14-2021,54.91,"3356
"
177,603,Quebec City,04-04-2022,81.71,"654
"
178,105,Sapporo,03-10-2022,95.57,"4257
"
179,364,Buenos Aires,06-27-2022,38.45,"4991
"
180,352,Saskatoon,03-14-2022,55.63,"9946
"
181,202,Chiinu,05-07-2022,19.61,"2440
"
182,76,N'Djamena,12-29-2021,63.42,"1875
"
183,66,Atlanta,11-29-2021,90.59,"3360
"
184,614,Siem Reap,10-19-2022,43.61,"8972
"
185,995,Boa Vista,03-18-2022,84.84,"2087
"
186,558,Alofi,03-01-2022,95.86,"5270
"
187,783,Ciudad del Este,12-20-2021,31.24,"4450
"
188,783,Paramaribo,10-16-2022,32.49,"7562
"
189,791,Islamabad,01-16-2022,6.77,"3096
"
190,308,Ludhiana,06-27-2022,1.04,"7842
"
191,410,Adana,01-18-2022,45.07,"5414
"
192,486,Antwerp,05-31-2022,1.12,"4133
"
193,858,Nagoya,03-06-2022,54.62,"1906
"
194,530,Zanzibar City,01-30-2022,27.88,"3466
"
195,356,Atlanta,12-25-2021,10.55,"9217
"
196,998,Chongjin,04-01-2022,96.25,"1848
"
197,59,Qingdao,08-21-2022,10.44,"6461
"
198,195,Antananarivo,04-18-2022,77.23,"4555
"
199,416,Brikama,12-13-2021,50.11,"6919
"
200,823,Okinawa,12-02-2021,34.65,"9764
"
201,77,Barcelona,04-10-2022,27.59,"9238
"
202,835,Braslia,04-10-2022,66.57,"7967
"
203,99,Townsville,06-24-2022,88.2,"2081
"
204,264,Punta Arenas,11-14-2021,7.96,"9269
"
205,511,Malm,09-17-2022,96.53,"5921
"
206,596,Dar es Salaam,02-15-2022,72.46,"9258
"
207,196,Lagos,08-14-2022,10.35,"5055
"
208,683,Gold Coast,03-29-2022,48.09,"3898
"
209,780,Antwerp,09-16-2022,15.51,"5225
"
210,932,Arequipa,06-14-2022,4.76,"8588
"
211,813,Edinburgh,02-05-2022,14.68,"4172
"
212,968,Bandar Seri Begawan,04-21-2022,69.89,"9075
"
213,347,Palma,02-23-2022,65.19,"3652
"
214,419,Agartala,04-26-2022,84.5,"6593
"
215,408,Phnom Penh,02-21-2022,30.07,"4510
"
216,391,Sri Jayawardenapura-Kotte,02-22-2022,96.65,"9073
"
217,785,Tehran,04-04-2022,15.36,"5692
"
218,354,Tamale,04-03-2022,6.29,"7898
"
219,878,Singapore,07-06-2022,59.92,"3671
"
220,48,Bern,12-03-2021,82.38,"2352
"
221,236,Gold Coast,12-04-2021,12.47,"3080
"
222,691,El Paso,03-14-2022,35.87,"7850
"
223,899,Charlottetown,02-06-2022,100.15,"5164
"
224,826,Port Moresby,08-22-2022,97.69,"9170
"
225,145,Cali,05-17-2022,55.21,"1672
"
226,71,Chongjin,01-23-2022,26.97,"9720
"
227,432,Hanga Roa,03-20-2022,58.03,"7288
"
228,89,Rockhampton,03-31-2022,12.76,"8187
"
229,108,Montreal,01-01-2022,12.04,"9899
"
230,632,Port Elizabeth,09-05-2022,86.61,"7811
"
231,295,Bangalore,08-25-2022,60.97,"2656
"
232,91,Munich,07-12-2022,90.3,"5400
"
233,643,Cebu City,11-20-2021,54.79,"328
"
234,117,The Valley,10-27-2022,28.18,"537
"
235,884,Marseille,02-04-2022,68.64,"2504
"
236,1000,Chongjin,12-30-2021,39.37,"6834
"
237,128,Algiers,10-09-2022,97.26,"7311
"
238,302,Santiago,02-22-2022,59.88,"6528
"
239,930,Kaliningrad,02-19-2022,88.63,"7096
"
240,323,Kuching,02-18-2022,23.26,"2497
"
241,238,Miami,05-16-2022,18.76,"7006
"
242,285,Anadyr (town),07-12-2022,24.9,"6801
"
243,828,Abuja,05-25-2022,35.03,"9230
"
244,606,Birmingham,03-24-2022,94.78,"5117
"
245,49,Hilo,01-31-2022,92.84,"8574
"
246,432,Xining,05-26-2022,19.6,"7628
"
247,989,Casablanca,11-30-2021,13.41,"7706
"
248,233,Quebec City,11-02-2021,8.83,"6224
"
249,668,Hu,06-08-2022,55.53,"589
"
250,96,Brikama,10-17-2022,70.41,"4908
"
251,467,Hagta,11-13-2021,60.75,"3319
"
252,148,Ottawa,09-28-2022,64.77,"4220
"
253,71,Macau,03-28-2022,94.34,"7242
"
254,215,Berlin,06-14-2022,37.6,"186
"
255,321,Mumbai,11-01-2021,15.44,"1916
"
256,703,Managua,01-08-2022,47.25,"2627
"
257,564,Hamburg,02-14-2022,16.79,"3516
"
258,162,Canberra,12-23-2021,81.91,"1495
"
259,512,Chongqing,01-27-2022,62.48,"6045
"
260,353,Adamstown,02-15-2022,70.27,"4199
"
261,380,Recife,08-10-2022,25.93,"868
"
262,551,Praia,01-23-2022,67.82,"9205
"
263,540,Rio de Janeiro,12-06-2021,28.36,"8983
"
264,570,Madrid,05-14-2022,70.79,"6207
"
265,33,Rome,06-21-2022,98.31,"8359
"
266,524,Doha,12-14-2021,5.42,"7557
"
267,335,Mersin,02-16-2022,26.44,"73
"
268,814,Tartu,07-14-2022,38.33,"7608
"
269,98,Ulan Bator,08-09-2022,77.58,"3047
"
270,78,Ciudad del Este,04-23-2022,51.85,"2455
"
271,43,Cebu City,03-04-2022,27.31,"9591
"
272,451,Lahore,05-31-2022,64.1,"8664
"
273,263,Chihuahua,04-27-2022,27.65,"9609
"
274,34,Tampere,12-10-2021,43.95,"7865
"
275,214,Palikir,04-14-2022,75.27,"2144
"
276,261,Hanoi,06-29-2022,60.44,"6426
"
277,755,Pattaya,08-24-2022,70.72,"8910
"
278,602,Amritsar,12-29-2021,38.96,"4991
"
279,16,Espoo,05-04-2022,69.43,"7675
"
280,130,Yangon,07-22-2022,86.92,"6245
"
281,42,Lucknow,08-08-2022,56.83,"6645
"
282,464,Kansas City,04-23-2022,71.76,"8234
"
283,522,Geneva,09-04-2022,25.61,"5168
"
284,361,Chiinu,07-29-2022,75.96,"2281
"
285,958,Nantes,05-23-2022,5.7,"4549
"
286,36,Virginia Beach,08-25-2022,25.33,"5075
"
287,870,Lagos,05-26-2022,39.77,"340
"
288,37,Kabul,07-04-2022,22.8,"6391
"
289,202,Rockhampton,04-13-2022,7.86,"1214
"
290,552,Monterrey,02-12-2022,40.24,"8088
"
291,293,Dublin,01-11-2022,9.04,"586
"
292,741,Marrakech,05-24-2022,43.56,"741
"
293,19,Nanjing,11-12-2021,14.04,"4477
"
294,744,Gaza,12-01-2021,93.93,"5837
"
295,8,New Delhi,08-16-2022,9.67,"1578
"
296,636,Saskatoon,02-13-2022,6.69,"1968
"
297,133,Saint-Denis,01-24-2022,33.36,"3492
"
298,8,Podgorica,06-20-2022,77.82,"9236
"
299,317,Edinburgh,04-26-2022,70.51,"4886
"
300,439,Anadyr (town),11-03-2021,23.38,"5492
"
301,929,Dibrugarh,11-02-2021,19.64,"1070
"
302,181,San Jos,01-06-2022,38.93,"1278
"
303,423,Paris,12-01-2021,49.79,"6900
"
304,599,San Juan,12-05-2021,100.99,"9338
"
305,753,Valdivia,10-24-2022,85.45,"6694
"
306,746,Kandy,06-09-2022,37.3,"5384
"
307,633,Sofia,12-18-2021,60.56,"8181
"
308,513,Mamoudzou,08-25-2022,23.97,"3063
"
309,111,San Carlos de Bariloche,04-27-2022,88.64,"1603
"
310,765,Kaliningrad,05-31-2022,31.41,"9444
"
311,705,Murmansk,05-20-2022,73.57,"5118
"
312,448,Faisalabad,01-21-2022,66.13,"2368
"
313,706,City of San Marino,03-19-2022,43.27,"2017
"
314,91,Cartagena,11-30-2021,30.47,"5636
"
315,214,Sabha,11-25-2021,77.96,"642
"
316,716,Greenwich,09-06-2022,88.21,"278
"
317,52,Copenhagen,03-11-2022,49.4,"8519
"
318,596,San Antonio,06-21-2022,30.13,"9032
"
319,164,Weno,04-24-2022,24.17,"5586
"
320,917,Ndola,03-15-2022,20.74,"5768
"
321,140,Da Nang,10-28-2022,4.97,"8150
"
322,215,Boa Vista,04-23-2022,82.02,"8028
"
323,216,Freetown,08-31-2022,67.61,"6224
"
324,688,Mbabane,03-20-2022,87.62,"7814
"
325,156,Amman,12-28-2021,96.58,"4073
"
326,496,Koror,10-07-2022,68.63,"3530
"
327,3,Guwahati,10-07-2022,6.4,"3131
"
328,523,Xi'an,09-25-2022,42.78,"6975
"
329,389,Ibadan,10-22-2022,27.23,"8357
"
330,715,Avarua,12-25-2021,37.29,"873
"
331,4,Pretoria,01-23-2022,31.17,"3641
"
332,767,Oslo,08-12-2022,10.58,"7620
"
333,8,Valletta,04-19-2022,51.71,"8166
"
334,312,Hanover,11-02-2021,41.67,"689
"
335,434,Chongjin,07-18-2022,84.21,"1898
"
336,126,Bandung,04-14-2022,24.25,"2530
"
337,120,Agartala,07-25-2022,53.58,"4379
"
338,43,Maputo,07-12-2022,93.54,"7098
"
339,608,Quezon City,12-22-2021,49.49,"246
"
340,694,Pittsburgh,10-03-2022,79.74,"1218
"
341,731,Chaguanas,11-27-2021,28.81,"738
"
342,43,Porto Velho,11-13-2021,17.16,"1109
"
343,734,Berlin,11-17-2021,48.62,"4559
"
344,311,Miri,09-17-2022,93.65,"889
"
345,333,Chaguanas,01-28-2022,92.4,"164
"
346,501,Algiers,05-19-2022,84.08,"3345
"
347,118,Invercargill,12-21-2021,22.04,"7474
"
348,260,Kota Kinabalu,10-29-2022,39.43,"7817
"
349,328,Dallas,12-25-2021,57.53,"9892
"
350,792,Campo Grande,05-20-2022,74.02,"517
"
351,944,Saint John,08-15-2022,61.2,"5812
"
352,387,Bangui,04-14-2022,88.81,"6807
"
353,821,Xining,08-24-2022,78.76,"783
"
354,533,Anchorage,01-24-2022,21.73,"3317
"
355,511,Bamako,09-13-2022,98.99,"9645
"
356,343,Papeete,03-21-2022,25.21,"4309
"
357,798,Aarhus,12-18-2021,4.34,"9984
"
358,194,Skopje,06-20-2022,37.18,"8144
"
359,160,Winnipeg,08-21-2022,32.04,"6194
"
360,53,Mata-Utu,12-04-2021,87.06,"2351
"
361,383,New Orleans,03-04-2022,3.14,"3566
"
362,376,Mashhad,10-02-2022,92.02,"6475
"
363,556,Bogot,11-20-2021,77.23,"1026
"
364,598,Bissau,04-29-2022,74.19,"328
"
365,452,Campo Grande,04-22-2022,77.19,"3346
"
366,664,Majuro,05-16-2022,18.35,"7702
"
367,225,Peshawar,11-12-2021,70.25,"2623
"
368,784,Lagos,12-16-2021,27.54,"1091
"
369,400,Yokohama,02-08-2022,3.13,"4488
"
370,789,Asuncin,06-26-2022,100.03,"5655
"
371,502,Regina,11-12-2021,8.69,"9860
"
372,393,Namangan,06-08-2022,17.69,"4154
"
373,669,Yogyakarta (city),01-15-2022,10.11,"4562
"
374,469,Longyearbyen,06-20-2022,6.15,"1562
"
375,897,Portland,05-20-2022,75.99,"2666
"
376,472,Nouakchott,10-20-2022,84.14,"1945
"
377,160,Asmara,12-01-2021,78.71,"1163
"
378,438,Kano,08-07-2022,10.3,"6321
"
379,713,Geelong,11-07-2021,39.87,"3254
"
380,790,Cusco,07-22-2022,33.95,"5600
"
381,37,Detroit,07-31-2022,97.34,"4445
"
382,940,Nantes,12-27-2021,1.86,"2575
"
383,335,Stuttgart,12-09-2021,66.27,"5621
"
384,788,Shanghai,09-15-2022,67.37,"6966
"
385,290,Graz,05-23-2022,45.59,"1108
"
386,57,City of Halifax,01-13-2022,16.94,"3323
"
387,252,Omsk,05-09-2022,89.1,"7169
"
388,668,Hanoi,10-31-2022,18.05,"6900
"
389,800,Nakhon Ratchasima,11-08-2021,4.39,"2314
"
390,115,Arbil,11-15-2021,99.15,"7728
"
391,41,Yerevan,04-13-2022,13.22,"637
"
392,724,Cairo,10-24-2022,58.11,"5455
"
393,717,Bissau,03-01-2022,90.41,"904
"
394,899,Gdask,05-09-2022,1.61,"667
"
395,17,Valencia,12-19-2021,80.74,"1379
"
396,392,Timbuktu,03-28-2022,88.04,"2291
"
397,781,Invercargill,10-12-2022,82.9,"7045
"
398,641,Yakutsk,01-13-2022,4.8,"116
"
399,353,Chengdu,12-30-2021,22.25,"1450
"
400,935,Macap,02-16-2022,59.11,"6413
"
401,600,Sydney,11-30-2021,84.7,"1538
"
402,131,Dsseldorf,09-13-2022,18.59,"5938
"
403,784,Harare,11-21-2021,95.48,"258
"
404,84,Salzburg,09-21-2022,34.54,"2994
"
405,60,Cannes,01-16-2022,4.82,"616
"
406,950,Zhengzhou,02-18-2022,75.31,"5505
"
407,572,Cusco,10-07-2022,75.9,"343
"
408,174,Bujumbura,04-06-2022,69.34,"3097
"
409,458,Calama,04-28-2022,68.1,"5861
"
410,365,Brikama,09-07-2022,54.72,"1152
"
411,934,Lobamba,03-01-2022,76.51,"4782
"
412,191,Rawalpindi,11-08-2021,61.02,"5691
"
413,108,Rome,08-04-2022,34.98,"5889
"
414,534,Almaty,01-01-2022,88.35,"2831
"
415,329,Bloemfontein,06-26-2022,96.09,"9444
"
416,35,Andorra la Vella,12-20-2021,68.42,"5579
"
417,471,Miri,11-22-2021,87.67,"5085
"
418,155,Saint-Denis,04-09-2022,17.06,"1799
"
419,829,Amritsar,09-30-2022,27.8,"8457
"
420,757,Hu,10-05-2022,79.33,"9655
"
421,13,Maracaibo,11-26-2021,46.02,"8520
"
422,720,Agartala,07-13-2022,21.34,"155
"
423,495,Newcastle,11-08-2021,91.27,"6859
"
424,556,Apia,07-01-2022,58.34,"4022
"
425,543,Medelln,08-15-2022,70.83,"6260
"
426,518,Hai Phong,05-27-2022,83.45,"162
"
427,424,Durango,08-16-2022,18.87,"9555
"
428,698,Enugu,09-02-2022,73.12,"4543
"
429,660,Port Moresby,09-20-2022,82.8,"5763
"
430,576,Ibadan,01-31-2022,54.6,"7124
"
431,334,Incheon,10-23-2022,94.47,"1488
"
432,255,Los Angeles,01-08-2022,38.84,"2382
"
433,437,Kyoto,04-18-2022,68.76,"3768
"
434,323,Douglas,09-05-2022,92.62,"2183
"
435,745,Makassar,04-17-2022,8.02,"6329
"
436,279,Surat,03-14-2022,66.91,"3723
"
437,35,Colombo,04-23-2022,91.57,"1461
"
438,801,Dushanbe,10-28-2022,45.95,"8892
"
439,71,Bratislava,09-02-2022,61.74,"8037
"
440,99,Alofi,10-23-2022,26.17,"2664
"
441,122,So Jos dos Campos,06-06-2022,1.92,"7956
"
442,291,Cusco,06-01-2022,44.59,"2161
"
443,797,Punta Arenas,09-28-2022,29.55,"5306
"
444,512,Anadyr (town),12-02-2021,2.95,"3019
"
445,617,Gaza,06-05-2022,2.6,"9468
"
446,399,Hobart,04-08-2022,32.35,"353
"
447,364,Nanning,04-14-2022,81.48,"3389
"
448,381,This,03-02-2022,79.2,"3253
"
449,499,Winnipeg,04-21-2022,42.43,"3682
"
450,186,Monaco,07-23-2022,99.63,"9948
"
451,359,Belm,03-25-2022,83.15,"4507
"
452,858,Dresden,05-08-2022,88.83,"4790
"
453,966,The Hague,07-23-2022,24.93,"9009
"
454,652,Bissau,05-23-2022,38.44,"516
"
455,220,San Antonio,01-14-2022,96.89,"9119
"
456,435,Malabo,07-05-2022,53.82,"7083
"
457,962,Douglas,01-18-2022,5.43,"4767
"
458,895,Gothenburg,10-12-2022,50.82,"8721
"
459,238,Kobe,07-15-2022,11.54,"8014
"
460,35,Austin,03-03-2022,41.53,"1411
"
461,865,Stuttgart,09-29-2022,98.35,"1684
"
462,941,Fukuoka,10-12-2022,34.95,"9688
"
463,843,Chittagong,07-10-2022,84.8,"25
"
464,737,Kanpur,07-06-2022,84.06,"3245
"
465,782,Istanbul,01-25-2022,4.91,"9955
"
466,184,Kabul,04-09-2022,34.73,"8640
"
467,977,Pago Pago,07-04-2022,10.27,"8987
"
468,395,This,11-22-2021,40.26,"5345
"
469,457,Nukus,07-01-2022,82.7,"516
"
470,143,Malm,10-31-2022,26.09,"2843
"
471,64,Banda Aceh,05-26-2022,46.91,"6210
"
472,914,Manama,06-07-2022,15.47,"4711
"
473,965,Honolulu,08-27-2022,79.47,"5204
"
474,235,Cayenne,11-21-2021,56.51,"5580
"
475,112,Mashhad,04-06-2022,39.69,"3499
"
476,77,Panama City,05-09-2022,34.6,"9140
"
477,272,Crdoba,10-03-2022,41.56,"7167
"
478,227,Udon Thani,10-09-2022,88.93,"2451
"
479,261,Pekanbaru,06-16-2022,86.81,"3899
"
480,766,San Diego,07-02-2022,25.47,"5894
"
481,959,Louisville,11-29-2021,64.9,"3559
"
482,786,Moroni,03-06-2022,19.86,"5667
"
483,53,Mecca,01-07-2022,55.76,"3333
"
484,254,Cologne,02-24-2022,48.56,"7055
"
485,765,Thimphu,08-15-2022,99.22,"7845
"
486,633,Cotonou,03-12-2022,9.82,"8289
"
487,457,Lima,07-17-2022,9.67,"5537
"
488,996,Anchorage,09-02-2022,67.32,"2283
"
489,892,Palikir,07-25-2022,52.09,"8926
"
490,767,Damascus,04-06-2022,84.42,"6710
"
491,377,Tunis,02-19-2022,51.58,"2280
"
492,578,Hanoi,12-24-2021,62.94,"7987
"
493,399,Marrakech,04-07-2022,35.14,"7383
"
494,12,Tirana,09-12-2022,37.92,"3182
"
495,222,Lucknow,04-27-2022,85.78,"5110
"
496,740,Pontianak,03-24-2022,86.78,"6332
"
497,363,Wichita,01-31-2022,75.34,"9216
"
498,391,Xining,01-05-2022,71.69,"9807
"
499,138,Fortaleza,10-21-2022,52.39,"3992
"
500,836,Montevideo,03-23-2022,20,"7374
"
501,366,Glasgow,05-22-2022,1.07,"7675
"
502,178,Lima,03-21-2022,58.46,"3554
"
503,711,Atlanta,03-31-2022,65.87,"6477
"
504,798,Edmonton,08-07-2022,22.93,"945
"
505,505,Kingstown,11-13-2021,3.5,"8035
"
506,791,Linz,10-17-2022,25.58,"6960
"
507,951,Okinawa,10-29-2022,1.17,"8316
"
508,130,Kingston,02-14-2022,56.51,"5860
"
509,658,Kandahar,04-23-2022,55.06,"4292
"
510,905,Damascus,02-02-2022,98.02,"9492
"
511,925,Port Said,02-26-2022,26.02,"2482
"
512,449,Macei,06-26-2022,18.52,"1048
"
513,843,Enugu,09-12-2022,20.69,"7511
"
514,897,City of Halifax,10-30-2022,23.86,"4898
"
515,742,Ciudad del Este,08-03-2022,11.8,"2257
"
516,59,Honolulu,02-24-2022,29.75,"3641
"
517,743,Vientiane,09-06-2022,30.59,"5618
"
518,452,Nicosia,08-06-2022,44.74,"7058
"
519,203,Yamoussoukro,03-19-2022,91.67,"946
"
520,148,Rabat,10-14-2022,53.82,"9665
"
521,153,Durban,06-03-2022,99.69,"7637
"
