0,1,2,3,4
263,56,6,Overall positive experience,"4
"
264,532,944,Was easy to find!,"3
"
265,572,423,The place was a perfect storage for my needs!,"2
"
266,856,368,Was easy to find!,"2
"
267,350,813,Was easy to find!,"2
"
268,949,316,Overall positive experience,"5
"
269,743,567,Great!,"4
"
270,945,477,Was easy to find!,"5
"
271,628,167,The place was a perfect storage for my needs!,"2
"
272,859,374,The place was clean!,"2
"
273,470,135,The place was clean!,"4
"
274,25,231,Was easy to find!,"2
"
275,930,181,Was easy to find!,"5
"
276,572,598,The place was clean!,"4
"
277,387,961,Great!,"5
"
278,640,118,Was easy to find!,"3
"
279,598,236,The place was clean!,"3
"
280,477,522,Great!,"5
"
281,556,229,Overall positive experience,"2
"
282,193,939,Overall positive experience,"2
"
283,549,179,Was easy to find!,"4
"
284,210,279,Great!,"5
"
285,96,398,Great!,"2
"
286,956,358,The place was clean!,"4
"
287,528,64,Was easy to find!,"2
"
288,552,149,Overall positive experience,"5
"
289,503,944,The place was clean!,"5
"
290,282,164,Was easy to find!,"5
"
291,843,652,Overall positive experience,"4
"
292,520,865,Great!,"4
"
293,572,880,Overall positive experience,"3
"
294,809,867,Was easy to find!,"2
"
295,35,312,Great!,"3
"
296,340,322,The place was a perfect storage for my needs!,"2
"
297,978,976,The place was clean!,"3
"
298,582,689,The place was clean!,"5
"
299,912,770,The place was clean!,"4
"
300,533,407,Great!,"4
"
301,867,608,The place was clean!,"3
"
302,847,70,The place was a perfect storage for my needs!,"2
"
303,815,625,Great!,"5
"
304,729,575,Great!,"2
"
305,172,352,The place was a perfect storage for my needs!,"4
"
306,451,231,Was easy to find!,"5
"
307,477,690,The place was a perfect storage for my needs!,"2
"
308,798,39,Overall positive experience,"5
"
309,37,283,Was easy to find!,"5
"
310,8,71,Was easy to find!,"3
"
311,75,875,The place was a perfect storage for my needs!,"4
"
312,970,28,The place was clean!,"5
"
313,465,557,Was easy to find!,"5
"
314,489,281,The place was a perfect storage for my needs!,"3
"
315,686,290,Was easy to find!,"4
"
316,878,122,The place was clean!,"2
"
317,884,482,Great!,"3
"
318,596,721,Was easy to find!,"2
"
319,740,194,Great!,"4
"
320,453,90,Overall positive experience,"2
"
321,942,578,The place was a perfect storage for my needs!,"3
"
322,441,799,Great!,"5
"
323,990,419,The place was clean!,"3
"
324,515,859,Was easy to find!,"4
"
325,424,731,Was easy to find!,"3
"
326,127,610,Was easy to find!,"2
"
327,347,718,Overall positive experience,"4
"
328,457,161,Overall positive experience,"3
"
329,485,318,Overall positive experience,"3
"
330,244,864,Overall positive experience,"3
"
331,479,934,Was easy to find!,"3
"
332,299,381,Was easy to find!,"2
"
333,703,502,Was easy to find!,"5
"
334,390,312,The place was clean!,"5
"
335,731,83,Was easy to find!,"3
"
336,692,903,The place was clean!,"5
"
337,659,381,The place was a perfect storage for my needs!,"4
"
338,844,606,Was easy to find!,"4
"
339,167,267,The place was clean!,"4
"
340,819,914,Overall positive experience,"2
"
341,434,356,Great!,"3
"
342,63,191,Overall positive experience,"3
"
343,458,968,Overall positive experience,"3
"
344,963,983,Was easy to find!,"3
"
345,572,988,Was easy to find!,"3
"
346,507,616,Great!,"4
"
347,36,884,The place was clean!,"4
"
348,254,887,Was easy to find!,"4
"
349,49,160,Was easy to find!,"5
"
350,310,497,Overall positive experience,"5
"
351,949,335,The place was a perfect storage for my needs!,"4
"
352,523,436,Was easy to find!,"5
"
353,134,76,Overall positive experience,"2
"
354,331,630,Great!,"2
"
355,458,857,Overall positive experience,"5
"
356,573,260,The place was a perfect storage for my needs!,"4
"
357,637,440,Was easy to find!,"3
"
358,925,943,The place was a perfect storage for my needs!,"3
"
359,91,950,The place was clean!,"2
"
360,270,326,Great!,"4
"
361,814,275,Was easy to find!,"2
"
362,486,215,The place was clean!,"3
"
363,123,178,The place was clean!,"5
"
364,519,404,Great!,"2
"
365,92,611,Overall positive experience,"3
"
366,752,121,Was easy to find!,"5
"
367,888,987,Was easy to find!,"3
"
368,99,308,The place was a perfect storage for my needs!,"4
"
369,534,959,The place was clean!,"3
"
370,241,254,Was easy to find!,"5
"
371,994,160,The place was clean!,"2
"
372,235,834,Was easy to find!,"5
"
373,54,173,The place was a perfect storage for my needs!,"3
"
374,288,405,The place was clean!,"5
"
375,741,563,Great!,"4
"
376,801,864,Overall positive experience,"3
"
377,549,27,Great!,"3
"
378,202,279,The place was clean!,"3
"
379,722,589,Was easy to find!,"3
"
380,432,713,Great!,"5
"
381,916,432,The place was a perfect storage for my needs!,"4
"
382,158,334,Great!,"3
"
383,624,736,Great!,"2
"
384,959,324,Great!,"3
"
385,616,766,The place was clean!,"5
"
386,501,757,The place was a perfect storage for my needs!,"5
"
387,737,326,Was easy to find!,"4
"
388,943,571,Overall positive experience,"3
"
389,769,86,The place was a perfect storage for my needs!,"2
"
390,761,893,The place was a perfect storage for my needs!,"2
"
391,504,815,The place was a perfect storage for my needs!,"2
"
392,684,35,The place was a perfect storage for my needs!,"5
"
393,266,715,Overall positive experience,"5
"
394,467,30,Great!,"2
"
395,734,738,The place was a perfect storage for my needs!,"5
"
396,50,121,Was easy to find!,"4
"
397,782,392,Great!,"5
"
398,934,34,The place was a perfect storage for my needs!,"4
"
399,712,596,Was easy to find!,"4
"
400,845,887,The place was clean!,"2
"
401,704,858,Was easy to find!,"3
"
402,288,716,Great!,"3
"
403,575,646,Great!,"2
"
404,331,885,Overall positive experience,"3
"
405,455,475,Overall positive experience,"4
"
406,150,625,The place was a perfect storage for my needs!,"2
"
407,601,94,Overall positive experience,"2
"
408,828,499,Was easy to find!,"4
"
409,365,509,Was easy to find!,"2
"
410,982,413,Overall positive experience,"2
"
411,370,465,The place was clean!,"3
"
412,189,603,The place was a perfect storage for my needs!,"4
"
413,299,839,Was easy to find!,"5
"
414,155,373,Great!,"3
"
415,640,429,Great!,"4
"
416,187,718,Overall positive experience,"2
"
417,304,961,Was easy to find!,"2
"
418,273,470,The place was a perfect storage for my needs!,"4
"
419,891,12,Was easy to find!,"5
"
420,428,691,The place was a perfect storage for my needs!,"3
"
421,260,856,The place was clean!,"4
"
422,812,930,Was easy to find!,"5
"
423,938,566,The place was clean!,"5
"
424,494,609,The place was clean!,"3
"
425,429,899,Great!,"4
"
426,661,165,Great!,"4
"
427,184,246,Was easy to find!,"5
"
428,136,649,The place was clean!,"3
"
429,449,830,The place was clean!,"2
"
430,51,257,Great!,"5
"
431,54,721,The place was clean!,"5
"
432,273,210,Was easy to find!,"3
"
433,103,140,Was easy to find!,"3
"
434,260,454,Great!,"3
"
435,144,377,Overall positive experience,"5
"
436,514,237,Overall positive experience,"2
"
437,37,356,Overall positive experience,"4
"
438,449,766,Great!,"2
"
439,717,592,Overall positive experience,"2
"
440,814,405,The place was clean!,"3
"
441,80,694,Was easy to find!,"2
"
442,136,469,Great!,"5
"
443,580,321,Great!,"5
"
444,991,504,The place was a perfect storage for my needs!,"5
"
445,252,300,Was easy to find!,"2
"
446,719,951,Great!,"5
"
447,204,313,Was easy to find!,"4
"
448,809,396,Was easy to find!,"4
"
449,790,106,Was easy to find!,"5
"
450,829,609,The place was a perfect storage for my needs!,"5
"
451,871,70,Overall positive experience,"4
"
452,865,382,Great!,"2
"
453,997,459,Was easy to find!,"2
"
454,51,223,Was easy to find!,"4
"
455,471,277,Great!,"4
"
456,887,912,The place was clean!,"2
"
457,849,237,The place was a perfect storage for my needs!,"5
"
458,199,394,Was easy to find!,"5
"
459,85,660,The place was a perfect storage for my needs!,"3
"
460,253,353,Overall positive experience,"5
"
461,515,585,Was easy to find!,"3
"
462,796,657,Great!,"5
"
463,284,129,Great!,"3
"
464,107,981,The place was a perfect storage for my needs!,"3
"
465,839,176,The place was clean!,"4
"
466,435,375,The place was a perfect storage for my needs!,"4
"
467,515,419,Was easy to find!,"3
"
468,630,674,Overall positive experience,"2
"
469,865,117,Overall positive experience,"4
"
470,368,106,The place was clean!,"2
"
471,434,244,The place was a perfect storage for my needs!,"2
"
472,62,697,Overall positive experience,"4
"
473,153,650,The place was a perfect storage for my needs!,"2
"
474,728,974,Was easy to find!,"5
"
475,662,655,Great!,"2
"
476,510,769,Was easy to find!,"3
"
477,710,97,The place was a perfect storage for my needs!,"2
"
478,648,268,Was easy to find!,"2
"
479,93,717,Great!,"4
"
480,365,18,The place was a perfect storage for my needs!,"2
"
481,685,383,The place was a perfect storage for my needs!,"3
"
482,16,450,Was easy to find!,"2
"
483,881,249,The place was clean!,"4
"
484,865,654,Great!,"3
"
485,387,414,The place was clean!,"5
"
486,886,934,The place was a perfect storage for my needs!,"4
"
487,550,498,The place was a perfect storage for my needs!,"2
"
488,17,424,Great!,"5
"
489,78,332,The place was clean!,"2
"
490,422,118,The place was a perfect storage for my needs!,"5
"
491,249,159,The place was clean!,"5
"
492,182,807,Was easy to find!,"4
"
493,559,998,Was easy to find!,"3
"
494,831,965,Was easy to find!,"2
"
495,791,804,Was easy to find!,"2
"
496,969,860,Great!,"4
"
497,772,89,Great!,"4
"
498,654,401,The place was clean!,"2
"
499,491,405,The place was clean!,"4
"
500,192,273,Was easy to find!,"3
"
501,44,602,The place was a perfect storage for my needs!,"3
"
502,806,595,Was easy to find!,"3
"
503,63,405,Was easy to find!,"3
"
504,576,153,The place was a perfect storage for my needs!,"5
"
505,544,582,The place was clean!,"3
"
506,360,818,Great!,"2
"
507,785,704,Was easy to find!,"5
"
508,587,388,Great!,"5
"
509,789,866,The place was a perfect storage for my needs!,"3
"
510,61,584,The place was a perfect storage for my needs!,"4
"
511,909,437,Overall positive experience,"5
"
512,659,136,Great!,"2
"
513,284,425,Was easy to find!,"3
"
514,4,919,Was easy to find!,"5
"
515,502,719,The place was clean!,"3
"
516,883,441,Was easy to find!,"3
"
517,723,467,The place was clean!,"5
"
518,500,232,The place was clean!,"3
"
519,217,726,Was easy to find!,"5
"
520,330,640,Great!,"2
"
521,197,625,The place was a perfect storage for my needs!,"2
"
522,85,536,The place was clean!,"2
"
523,982,508,The place was a perfect storage for my needs!,"2
"
524,171,238,The place was a perfect storage for my needs!,"3
"
525,862,381,The place was a perfect storage for my needs!,"4
"
526,744,230,Overall positive experience,"3
"
527,783,532,The place was a perfect storage for my needs!,"5
"
528,974,169,The place was clean!,"4
"
529,340,673,The place was a perfect storage for my needs!,"3
"
530,596,570,The place was clean!,"4
"
531,697,164,The place was a perfect storage for my needs!,"4
"
532,756,114,Overall positive experience,"2
"
533,793,933,The place was clean!,"5
"
534,286,576,The place was a perfect storage for my needs!,"5
"
535,474,595,Great!,"3
"
536,57,393,The place was a perfect storage for my needs!,"2
"
537,60,887,The place was clean!,"3
"
538,661,687,The place was clean!,"5
"
539,257,450,Was easy to find!,"5
"
540,840,316,The place was clean!,"3
"
541,222,94,The place was clean!,"4
"
542,621,874,Great!,"3
"
543,625,400,Overall positive experience,"3
"
544,989,153,The place was clean!,"3
"
545,725,619,Great!,"4
"
546,460,44,The place was a perfect storage for my needs!,"5
"
547,130,878,Great!,"2
"
548,481,971,The place was clean!,"5
"
549,530,975,Great!,"5
"
550,737,895,The place was clean!,"4
"
551,282,848,The place was clean!,"2
"
552,674,319,Overall positive experience,"5
"
553,946,51,The place was a perfect storage for my needs!,"5
"
554,341,444,Was easy to find!,"5
"
555,792,543,The place was clean!,"3
"
556,834,74,Was easy to find!,"2
"
557,396,791,Was easy to find!,"2
"
558,544,602,Overall positive experience,"2
"
559,471,814,Overall positive experience,"2
"
560,895,73,Overall positive experience,"4
"
561,340,498,Overall positive experience,"2
"
562,608,429,The place was clean!,"3
"
563,132,371,The place was a perfect storage for my needs!,"5
"
564,584,780,The place was a perfect storage for my needs!,"4
"
565,284,570,Great!,"4
"
566,780,574,The place was clean!,"4
"
567,847,531,Overall positive experience,"4
"
568,933,200,The place was a perfect storage for my needs!,"4
"
569,761,71,The place was a perfect storage for my needs!,"5
"
570,345,440,Great!,"4
"
571,323,808,Overall positive experience,"5
"
572,169,247,The place was a perfect storage for my needs!,"4
"
573,561,639,Was easy to find!,"4
"
574,974,680,Great!,"3
"
575,712,166,The place was a perfect storage for my needs!,"3
"
576,787,211,Overall positive experience,"2
"
577,797,78,Great!,"4
"
578,255,738,Overall positive experience,"2
"
579,364,376,The place was clean!,"5
"
580,822,784,Overall positive experience,"2
"
581,155,444,Was easy to find!,"2
"
582,861,840,Great!,"4
"
583,500,563,Was easy to find!,"4
"
584,996,460,The place was a perfect storage for my needs!,"2
"
585,836,217,The place was a perfect storage for my needs!,"3
"
586,414,706,Was easy to find!,"3
"
587,698,290,Overall positive experience,"2
"
588,473,433,Was easy to find!,"2
"
589,826,774,Overall positive experience,"5
"
590,185,741,Overall positive experience,"5
"
591,956,709,The place was clean!,"5
"
592,169,86,Great!,"4
"
593,731,873,Was easy to find!,"4
"
594,559,387,Overall positive experience,"2
"
595,283,774,Overall positive experience,"3
"
596,348,312,Overall positive experience,"5
"
597,846,970,Overall positive experience,"2
"
598,425,351,Was easy to find!,"3
"
599,933,728,Overall positive experience,"5
"
600,807,310,Was easy to find!,"4
"
601,938,654,Overall positive experience,"2
"
602,568,92,The place was a perfect storage for my needs!,"5
"
603,953,118,Great!,"2
"
604,207,419,The place was a perfect storage for my needs!,"2
"
605,353,382,Was easy to find!,"3
"
606,397,53,Overall positive experience,"3
"
607,142,412,The place was a perfect storage for my needs!,"3
"
608,182,541,The place was a perfect storage for my needs!,"4
"
609,734,54,Was easy to find!,"2
"
610,424,122,Overall positive experience,"4
"
611,838,524,Overall positive experience,"2
"
612,317,865,The place was a perfect storage for my needs!,"4
"
613,401,899,Overall positive experience,"3
"
614,979,710,The place was clean!,"4
"
615,126,687,Was easy to find!,"5
"
616,387,463,Overall positive experience,"4
"
617,686,228,The place was a perfect storage for my needs!,"5
"
618,124,982,The place was a perfect storage for my needs!,"4
"
619,136,80,Great!,"3
"
620,972,763,Great!,"4
"
621,806,606,The place was a perfect storage for my needs!,"5
"
622,522,342,Was easy to find!,"2
"
623,844,110,Overall positive experience,"3
"
624,59,479,Was easy to find!,"4
"
625,997,471,Overall positive experience,"5
"
626,487,678,The place was a perfect storage for my needs!,"5
"
627,181,373,Overall positive experience,"3
"
628,623,162,Was easy to find!,"5
"
629,790,929,Overall positive experience,"2
"
630,841,397,Great!,"4
"
631,59,408,The place was a perfect storage for my needs!,"2
"
632,222,426,The place was a perfect storage for my needs!,"3
"
633,889,312,Overall positive experience,"5
"
634,949,8,The place was a perfect storage for my needs!,"4
"
635,964,821,Great!,"5
"
636,834,320,The place was a perfect storage for my needs!,"2
"
637,237,866,Was easy to find!,"2
"
638,375,217,The place was clean!,"2
"
639,924,77,The place was clean!,"3
"
640,834,737,Great!,"5
"
641,201,63,Great!,"2
"
642,791,951,The place was clean!,"5
"
643,653,825,The place was clean!,"2
"
644,580,950,The place was clean!,"4
"
645,109,649,Was easy to find!,"2
"
646,391,256,Overall positive experience,"4
"
647,712,553,The place was a perfect storage for my needs!,"4
"
648,716,637,Overall positive experience,"5
"
649,314,922,Overall positive experience,"5
"
650,495,867,Overall positive experience,"5
"
651,30,739,The place was a perfect storage for my needs!,"4
"
652,157,159,The place was clean!,"4
"
653,476,987,Was easy to find!,"5
"
654,437,315,Great!,"4
"
655,99,572,Overall positive experience,"4
"
656,933,864,Great!,"5
"
657,393,829,Was easy to find!,"2
"
658,207,609,The place was a perfect storage for my needs!,"3
"
659,844,188,Was easy to find!,"3
"
660,298,281,The place was clean!,"5
"
661,723,582,The place was a perfect storage for my needs!,"3
"
662,556,6,The place was clean!,"5
"
663,689,665,Overall positive experience,"5
"
664,658,874,The place was a perfect storage for my needs!,"2
"
665,156,90,The place was clean!,"3
"
666,358,512,Was easy to find!,"2
"
667,423,10,Overall positive experience,"4
"
668,387,353,The place was a perfect storage for my needs!,"4
"
669,180,744,The place was a perfect storage for my needs!,"3
"
670,417,120,Great!,"4
"
671,758,528,The place was a perfect storage for my needs!,"4
"
672,632,954,The place was a perfect storage for my needs!,"4
"
673,434,140,The place was a perfect storage for my needs!,"3
"
674,558,974,Overall positive experience,"2
"
675,754,930,Great!,"4
"
676,773,304,Great!,"5
"
677,500,86,Great!,"4
"
678,491,336,The place was clean!,"5
"
679,174,411,Was easy to find!,"3
"
680,193,680,The place was a perfect storage for my needs!,"2
"
681,547,859,Was easy to find!,"4
"
682,565,731,The place was a perfect storage for my needs!,"5
"
683,80,337,Overall positive experience,"5
"
684,312,85,Overall positive experience,"5
"
685,918,554,The place was clean!,"2
"
686,622,56,Great!,"2
"
687,9,133,The place was clean!,"5
"
688,799,271,The place was clean!,"3
"
689,369,459,The place was clean!,"5
"
690,828,950,Great!,"5
"
691,614,790,The place was clean!,"2
"
692,966,154,Was easy to find!,"4
"
693,520,23,Was easy to find!,"4
"
694,544,601,The place was clean!,"5
"
695,114,197,The place was a perfect storage for my needs!,"5
"
696,833,764,The place was clean!,"3
"
697,698,289,Was easy to find!,"3
"
698,246,594,Great!,"5
"
699,575,356,The place was clean!,"2
"
700,95,87,The place was a perfect storage for my needs!,"3
"
701,989,659,The place was clean!,"4
"
702,711,389,Overall positive experience,"5
"
703,638,720,Overall positive experience,"2
"
704,324,748,The place was a perfect storage for my needs!,"3
"
705,627,908,Great!,"5
"
706,304,918,Great!,"5
"
707,108,905,The place was clean!,"2
"
708,49,87,The place was clean!,"2
"
709,959,79,The place was a perfect storage for my needs!,"5
"
710,772,916,Overall positive experience,"2
"
711,73,153,The place was clean!,"3
"
712,957,510,The place was clean!,"5
"
713,950,242,The place was clean!,"2
"
714,994,714,The place was clean!,"5
"
715,364,234,Was easy to find!,"5
"
716,780,161,Great!,"5
"
717,540,233,Overall positive experience,"4
"
718,935,337,Great!,"3
"
